test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize,num_train
0.6152466490287839,0.632673769660071,0.6943905025689604,1.0,16,59_wikidata_occupation_isjournalist,24,layer_24/width_16k/standard_new,l1,False,28
0.68569940917487,0.6950786402841197,0.7702546308213466,0.9444444444444445,128,59_wikidata_occupation_isjournalist,24,layer_24/width_16k/standard_new,l1,False,28
0.599844738404829,0.6004828002414001,0.6368528143923882,0.6666666666666666,16,56_wikidatasex_or_gender,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,28
0.5673116839768871,0.5680949507141421,0.6101034201993942,0.611111111111111,128,56_wikidatasex_or_gender,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,28
0.3849669477657469,0.4974974974974975,0.4958473787440044,1.0,16,5_hist_fig_ismale,24,layer_24/width_16k/standard,l1,False,4
0.4843264451022047,0.5609609609609609,0.6858446308508561,1.0,128,5_hist_fig_ismale,24,layer_24/width_16k/standard,l1,False,4
0.7062623931780774,0.7067822539520653,0.776875949156421,0.8796296296296298,16,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/topk_32,l1,False,38
0.6867807870061431,0.6874043855175931,0.77005034429674,0.9259259259259259,128,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/topk_32,l1,False,38
0.41795278493281884,0.5033422459893048,0.495375368183248,1.0,16,58_wikidatapolitical_party,24,layer_24/width_16k/standard_new,l1,False,7
0.37863486195436186,0.5023395721925134,0.518539635105379,1.0,128,58_wikidatapolitical_party,24,layer_24/width_16k/standard_new,l1,False,7
0.9247312659179487,0.925085358505724,0.9877820643764289,1.0,16,49_cm_isshort,24,layer_24/width_16k/standard_new,l1,False,20
0.9587621884207002,0.9588270737095802,0.9963313277214927,1.0,128,49_cm_isshort,24,layer_24/width_16k/standard_new,l1,False,20
0.5403154830856911,0.5403339368336351,0.5461527005961756,0.7083333333333334,16,7_hist_fig_ispolitician,24,layer_24/width_16k/batch_topk_32,l1,False,28
0.5437264074285694,0.5437537718768859,0.5494875932991351,0.8472222222222223,128,7_hist_fig_ispolitician,24,layer_24/width_16k/batch_topk_32,l1,False,28
0.3842269488880618,0.507907907907908,0.5536090867086941,1.0,16,56_wikidatasex_or_gender,24,layer_24/width_16k/p_anneal,l1,False,4
0.3683903339730648,0.5053053053053053,0.5451669305007483,1.0,128,56_wikidatasex_or_gender,24,layer_24/width_16k/p_anneal,l1,False,4
0.864017547110046,0.8641509433962264,0.9517619050994441,0.9603841536614646,16,5_hist_fig_ismale,24,layer_24/width_16k/topk_32,l1,False,1024
0.8993621140596468,0.89937106918239,0.961359247584146,0.9755902360944377,128,5_hist_fig_ismale,24,layer_24/width_16k/topk_32,l1,False,1024
0.4508955750291652,0.49198396793587174,0.4732229991044213,1.0,16,60_wikidata_occupation_isathlete,24,layer_24/width_16k/jumprelu_32,l1,False,3
0.3333333333333333,0.5,0.622972397701214,1.0,128,60_wikidata_occupation_isathlete,24,layer_24/width_16k/jumprelu_32,l1,False,3
